# File: A26.res_policies.csv
# Title: Secondary outputs and input ratios of RES policies for liquid fuels
# Units: unitless
# Description: These are used for assigning portions of the given pooled commodities that are supplied by biofuel technologies
# Source: NA
# Column types: cccccncnnnnnn
# ----------
region,supplysector,subsector,technology,res.secondary.output,output.ratio,minicam.energy.input,2025,2030,2035,2040,2045,2050
USA,domestic shipping fuels,biodiesel,rapeseed biodiesel,,,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,domestic shipping fuels,biodiesel,soybean biodiesel,,,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,domestic shipping fuels,refined oil,heavy fuel oil,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,domestic shipping fuels,refined oil,marine gas oil,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,domestic shipping fuels,renewable diesel,LFG FT,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,domestic shipping fuels,renewable diesel,corn ethanol renewable diesel,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,domestic shipping fuels,renewable diesel,oilcrop HEFA,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,domestic shipping fuels,renewable diesel,palmfruit HEFA,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,domestic shipping fuels,renewable diesel,rapeseed HEFA,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,domestic shipping fuels,renewable diesel,soybean HEFA,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,international shipping fuels,biodiesel,oilcrop biodiesel,,,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,international shipping fuels,biodiesel,palmfruit biodiesel,,,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,international shipping fuels,biodiesel,rapeseed biodiesel,,,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,international shipping fuels,biodiesel,soybean biodiesel,,,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,international shipping fuels,refined oil,heavy fuel oil,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,international shipping fuels,refined oil,marine gas oil,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,international shipping fuels,renewable diesel,LFG FT,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,international shipping fuels,renewable diesel,corn ethanol renewable diesel,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,international shipping fuels,renewable diesel,oilcrop HEFA,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,international shipping fuels,renewable diesel,palmfruit HEFA,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,international shipping fuels,renewable diesel,rapeseed HEFA,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
USA,international shipping fuels,renewable diesel,soybean HEFA,biodiesel consumption constraint,1,biodiesel consumption constraint,0.86,0.86,0.86,0.86,0.86,0.86
