# File: A22.globaltech_coef.csv
# Title: Primary energy transformation technologies default coefficient assumptions
# Units: Unitless
# Column types: ccccnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2020,2100
rapeseed renewable diesel joint,rapeseed renewable diesel joint,rapeseed renewable diesel joint,regional biomassOil rapeseed,1.0685,1.0685,1.0685
rapeseed renewable diesel joint,rapeseed renewable diesel joint,rapeseed renewable diesel joint,wholesale gas,0.0186,0.0186,0.0186
rapeseed renewable diesel joint,rapeseed renewable diesel joint,rapeseed renewable diesel joint,elect_td_ind,0.0098,0.0098,0.0098
rapeseed renewable diesel joint,rapeseed renewable diesel joint,rapeseed renewable diesel joint,H2 industrial,0.1095,0.1095,0.1095
rapeseed renewable diesel jet fuel,rapeseed renewable diesel jet fuel,rapeseed renewable diesel jet fuel,rapeseed renewable diesel joint,1,1,1
rapeseed renewable diesel jet fuel,rapeseed renewable diesel jet fuel,rapeseed renewable diesel jet fuel,rapeseed renewable diesel jet credit,1,1,1
rapeseed renewable diesel,rapeseed renewable diesel,rapeseed renewable diesel,rapeseed renewable diesel joint,1,1,1
rapeseed renewable diesel,rapeseed renewable diesel,rapeseed renewable diesel,rapeseed renewable diesel jet credit,1,1,1
palmfruit renewable diesel joint,palmfruit renewable diesel joint,palmfruit renewable diesel joint,regional biomassOil palmfruit,1.0685,1.0685,1.0685
palmfruit renewable diesel joint,palmfruit renewable diesel joint,palmfruit renewable diesel joint,wholesale gas,0.0186,0.0186,0.0186
palmfruit renewable diesel joint,palmfruit renewable diesel joint,palmfruit renewable diesel joint,elect_td_ind,0.0098,0.0098,0.0098
palmfruit renewable diesel joint,palmfruit renewable diesel joint,palmfruit renewable diesel joint,H2 industrial,0.1095,0.1095,0.1095
palmfruit renewable diesel jet fuel,palmfruit renewable diesel jet fuel,palmfruit renewable diesel jet fuel,palmfruit renewable diesel joint,1,1,1
palmfruit renewable diesel jet fuel,palmfruit renewable diesel jet fuel,palmfruit renewable diesel jet fuel,palmfruit renewable diesel jet credit,1,1,1
palmfruit renewable diesel,palmfruit renewable diesel,palmfruit renewable diesel,palmfruit renewable diesel joint,1,1,1
palmfruit renewable diesel,palmfruit renewable diesel,palmfruit renewable diesel,palmfruit renewable diesel jet credit,1,1,1
oilcrop renewable diesel joint,oilcrop renewable diesel joint,oilcrop renewable diesel joint,regional biomassOil oilcrop,1.0685,1.0685,1.0685
oilcrop renewable diesel joint,oilcrop renewable diesel joint,oilcrop renewable diesel joint,wholesale gas,0.0186,0.0186,0.0186
oilcrop renewable diesel joint,oilcrop renewable diesel joint,oilcrop renewable diesel joint,elect_td_ind,0.0098,0.0098,0.0098
oilcrop renewable diesel joint,oilcrop renewable diesel joint,oilcrop renewable diesel joint,H2 industrial,0.1095,0.1095,0.1095
oilcrop renewable diesel jet fuel,oilcrop renewable diesel jet fuel,oilcrop renewable diesel jet fuel,oilcrop renewable diesel joint,1,1,1
oilcrop renewable diesel jet fuel,oilcrop renewable diesel jet fuel,oilcrop renewable diesel jet fuel,oilcrop renewable diesel jet credit,1,1,1
oilcrop renewable diesel,oilcrop renewable diesel,oilcrop renewable diesel,oilcrop renewable diesel joint,1,1,1
oilcrop renewable diesel,oilcrop renewable diesel,oilcrop renewable diesel,oilcrop renewable diesel jet credit,1,1,1
