# File: A271.freight_cost_adj.csv
# Title: revisions to non-energy costs to counter-balance transport costs explicitly included in LCA_inputs
# Units: 1975$/GJ
# Column types: cccccnn
# ----------
region,supplysector,subsector,technology,minicam.non.energy.input,1971,2100
Brazil,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,non-energy,-1,-1
China,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,non-energy,-1,-1
EU-12,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,non-energy,-1,-1
EU-15,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,non-energy,-1,-1
Europe_Non_EU,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,non-energy,-1,-1
European Free Trade Association,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,non-energy,-1,-1
India,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,non-energy,-1,-1
Japan,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,non-energy,-1,-1
South America_Southern,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,non-energy,-1,-1
South Korea,regional biomassOil soybean,regional biomassOil soybean,Soybean oil,non-energy,-1,-1
USA,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Africa_Eastern,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Africa_Northern,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Africa_Southern,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Africa_Western,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Australia_NZ,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Brazil,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Canada,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Central America and Caribbean,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Central Asia,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
China,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
EU-12,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
EU-15,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Europe_Eastern,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Europe_Non_EU,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
European Free Trade Association,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
India,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Indonesia,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Japan,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Mexico,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Middle East,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Pakistan,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Russia,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
South Africa,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
South America_Northern,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
South America_Southern,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
South Asia,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
South Korea,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Southeast Asia,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Taiwan,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Argentina,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
Colombia,aviation fuels,refined oil,refined oil,non-energy,0.9,0.9
