# File: A_demand_subsector.csv
# Title: Subsectors of agricultural production
# Unit: NA
# Description: Generic information for subsectors of agricultural production
# Source: GCAM assumptions
# Column types: ccciciccccc 
# ----------
supplysector,subsector0,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,logit.type
NonFoodDemand_Crops,OilCrop feedcake,OilCrop feedcake,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,OilCrop oil,OilCrop oil,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,OtherGrain,OtherGrain,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,PalmFruit,PalmFruit,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,PalmFruit feedcake,PalmFruit feedcake,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,PalmFruit oil,PalmFruit oil,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Rapeseed,Rapeseed,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Rapeseed feedcake,Rapeseed feedcake,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Rapeseed oil,Rapeseed oil,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Rice,Rice,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,RootTuber,RootTuber,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Soybean,Soybean,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Soybean feedcake,Soybean feedcake,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Soybean oil,Soybean oil,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,SugarCrop,SugarCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Vegetables,Vegetables,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Crops,Wheat,Wheat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Forest,Forest,Forest,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,Beef,Beef,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,Dairy,Dairy,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,Pork,Pork,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,Poultry,Poultry,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
NonFoodDemand_Meat,SheepGoat,SheepGoat,-6,start-year,1,share-weight,final-calibration-year,end-year,fixed,
